Band,ShowDate,Artist,Venue
DVS,8/4/14,Brian Haas,The Elk Lodge
DVS,8/4/14,James Singleton,Telluride Jazz
DVS,8/4/14,Johnny Vidacovich,Telluride Jazz
DVS,8/4/14,Mike Dillon,Telluride Jazz
DVS,8/5/14,Brian Haas,The Elk Lodge
DVS,8/5/14,James Singleton,The Elk Lodge
DVS,8/5/14,Mike Dillon,The Elk Lodge
Worship My Organ,4/28/15,Adam Deitch,The Blue Nile
Worship My Organ,4/28/15,DJ Logic,The Blue Nile
Worship My Organ,4/28/15,Marco Benevento,The Blue Nile
Worship My Organ,4/28/15,Robert Walter,The Blue Nile
Worship My Organ,4/28/15,Skerik,The Blue Nile
"Krasno, Moore & Blades",5/26/15,Eric Krasno,The Blue Nile
"Krasno, Moore & Blades",5/26/15,Stanton Moore,The Blue Nile
"Krasno, Moore & Blades",5/26/15,Will Blades,The Blue Nile
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/27/15,Bill Kreutzmann,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/27/15,Bob Weir,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/27/15,Jeff Chimenti,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/27/15,Mickey Heart,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/27/15,Phil Lesh,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/27/15,Trey Anastasio,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/28/15,Bill Kreutzmann,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/28/15,Bob Weir,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/28/15,Jeff Chimenti,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/28/15,Mickey Heart,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/28/15,Phil Lesh,Levi's Stadium
Fare Thee Well: Celebrating 50 Years of the Grateful Dead,6/28/15,Trey Anastasio,Levi's Stadium
Trey Anastasio Band,11/12/15,Cyro Baptista,The Depot
Trey Anastasio Band,11/12/15,James Casey,The Depot
Trey Anastasio Band,11/12/15,Jennifer Hartswick,The Depot
Trey Anastasio Band,11/12/15,Natalie Cressman,The Depot
Trey Anastasio Band,11/12/15,Ray Paczkowski,The Depot
Trey Anastasio Band,11/12/15,Russ Lawton,The Depot
Trey Anastasio Band,11/12/15,Tony Markellis,The Depot
Trey Anastasio Band,11/12/15,Trey Anastasio,The Depot
Electric Beethoven ,1/15/16,Clay Welch,Jam Cruise
Electric Beethoven ,1/15/16,Jay Lane,Jam Cruise
Electric Beethoven ,1/15/16,Reed Mathis,Jam Cruise
Electric Beethoven ,1/15/16,Todd Stoops,Jam Cruise
DRKWAV,7/30/16,Adam Deitch,High Sierra Music Festival
DRKWAV,7/30/16,John Medeski,High Sierra Music Festival
DRKWAV,7/30/16,Skerik,High Sierra Music Festival
Joe Russo's Almost Dead,7/30/16,Dave Drewitz,High Sierra Music Festival
Joe Russo's Almost Dead,7/30/16,Joe Russo,High Sierra Music Festival
Joe Russo's Almost Dead,7/30/16,Marco Benevento,High Sierra Music Festival
Joe Russo's Almost Dead,7/30/16,Scott Metzger,High Sierra Music Festival
Joe Russo's Almost Dead,7/30/16,Tommy Hamilton,High Sierra Music Festival
Nolatet,7/30/16,Brian Haas,High Sierra Music Festival
Nolatet,7/30/16,Mike Dillon,High Sierra Music Festival
Nolatet,7/30/16,Reed Mathis,High Sierra Music Festival
Nolatet,7/30/16,Scott Amendola,High Sierra Music Festival
Jacob Fred Jazz Odyssey,9/9/16,Brian Haas,Dazzle Jazz
Jacob Fred Jazz Odyssey,9/9/16,Chris Combs,Dazzle Jazz
Jacob Fred Jazz Odyssey,9/9/16,Josh Baymer,Dazzle Jazz
Everyone Orchestra,1/13/17,Chuck Jones ,Cervantes' Masterpiece
Everyone Orchestra,1/13/17,Eddie Roberts,Cervantes' Masterpiece
Everyone Orchestra,1/13/17,Eli Winderman,Cervantes' Masterpiece
Everyone Orchestra,1/13/17,Josh Schwartz,Cervantes' Masterpiece
Everyone Orchestra,1/13/17,Matt Butler,Cervantes' Masterpiece
Everyone Orchestra,1/13/17,Michael Travis,Cervantes' Masterpiece
Everyone Orchestra,1/13/17,Mihali Savoulidis,Cervantes' Masterpiece
Everyone Orchestra,1/13/17,Shira Elias,Cervantes' Masterpiece
Dave Watts & Friends,1/28/17,Adam Smirnoff,Cervantes' Masterpiece
Dave Watts & Friends,1/28/17,Dave Watts,Cervantes' Masterpiece
Dave Watts & Friends,1/28/17,Gabe Mervine,Cervantes' Masterpiece
Dave Watts & Friends,1/28/17,Ian Neville,Cervantes' Masterpiece
Dave Watts & Friends,1/28/17,Joey Porter,Cervantes' Masterpiece
Dave Watts & Friends,1/28/17,Lyle Divinsky,Cervantes' Masterpiece
Dave Watts & Friends,1/28/17,Nick Gerlach,Cervantes' Masterpiece
Dave Watts & Friends,1/28/17,Oteil Burbridge,Cervantes' Masterpiece
Dave Watts & Friends,1/28/17,Will Trask,Cervantes' Masterpiece
Foundation of Funk,2/10/17,Eddie Roberts,Ophelia's Soapbox
Foundation of Funk,2/10/17,George Porter Jr.,Ophelia's Soapbox
Foundation of Funk,2/10/17,John Medeski,Ophelia's Soapbox
Foundation of Funk,2/10/17,Zigaboo Modeliste,Ophelia's Soapbox
Joey Porter's Vital Organ,2/27/17,Dan Schwindt,Boulder Theater
Joey Porter's Vital Organ,2/27/17,Daren Hahn,Boulder Theater
Joey Porter's Vital Organ,2/27/17,Garrett Sayers,Boulder Theater
Joey Porter's Vital Organ,2/27/17,Joey Porter,Boulder Theater
John Scofield's Country For Old Men,2/27/17,Bill Stewart,Boulder Theater
John Scofield's Country For Old Men,2/27/17,John Scofield,Boulder Theater
John Scofield's Country For Old Men,2/27/17,Larry Goldings,Boulder Theater
John Scofield's Country For Old Men,2/27/17,Vincente Archer,Boulder Theater
Amendola vs. Blades,4/22/17,Scott Amendola,Dazzle Jazz
Amendola vs. Blades,4/22/17,Will Blades,Dazzle Jazz
Joe Russo's Almost Dead,4/29/17,Billy Martin,1st Bank Center
Joe Russo's Almost Dead,4/29/17,Chris Wood,1st Bank Center
Joe Russo's Almost Dead,4/29/17,Dave Drewitz,1st Bank Center
Joe Russo's Almost Dead,4/29/17,Joe Russo,1st Bank Center
Joe Russo's Almost Dead,4/29/17,John Medeski,1st Bank Center
Joe Russo's Almost Dead,4/29/17,Marco Benevento,1st Bank Center
Joe Russo's Almost Dead,4/29/17,Scott Metzger,1st Bank Center
Joe Russo's Almost Dead,4/29/17,Tommy Hamilton,1st Bank Center
"Medeski, Martin & Wood",4/29/17,Billy Martin,1st Bank Center
"Medeski, Martin & Wood",4/29/17,Chris Wood,1st Bank Center
"Medeski, Martin & Wood",4/29/17,John Medeski,1st Bank Center
Lettuce,5/13/17,Adam Deitch,Red Rocks Ampitheater
Lettuce,5/13/17,Adam Smirnoff,Red Rocks Ampitheater
Lettuce,5/13/17,Benny Bloom,Red Rocks Ampitheater
Lettuce,5/13/17,Cyrll Nevil,Red Rocks Ampitheater
Lettuce,5/13/17,George Porter Jr.,Red Rocks Ampitheater
Lettuce,5/13/17,Ghostface Killah,Red Rocks Ampitheater
Lettuce,5/13/17,Jesus Coomes,Red Rocks Ampitheater
Lettuce,5/13/17,John Scofield,Red Rocks Ampitheater
Lettuce,5/13/17,Nigel Hall,Red Rocks Ampitheater
Lettuce,5/13/17,Ryan Zoidis,Red Rocks Ampitheater
Turkuaz,5/13/17,Chris Brouwers,Red Rocks Ampitheater
Turkuaz,5/13/17,Craig Broadhead,Red Rocks Ampitheater
Turkuaz,5/13/17,Dave Brandwein,Red Rocks Ampitheater
Turkuaz,5/13/17,Greg Sanderson,Red Rocks Ampitheater
Turkuaz,5/13/17,Josh Schwartz,Red Rocks Ampitheater
Turkuaz,5/13/17,Michaelangelo Carruba,Red Rocks Ampitheater
Turkuaz,5/13/17,Sammi Garett,Red Rocks Ampitheater
Turkuaz,5/13/17,Shira Elias,Red Rocks Ampitheater
Turkuaz,5/13/17,Taylor Shell,Red Rocks Ampitheater
Dead and Company,6/7/17,Bill Kreutzmann,"Usana Ampitheatre, West Valley, UT"
Dead and Company,6/7/17,Bob Weir,"Usana Ampitheatre, West Valley, UT"
Dead and Company,6/7/17,Jeff Chimenti,"Usana Ampitheatre, West Valley, UT"
Dead and Company,6/7/17,John Mayer,"Usana Ampitheatre, West Valley, UT"
Dead and Company,6/7/17,Mickey Heart,"Usana Ampitheatre, West Valley, UT"
Dead and Company,6/7/17,Oteil Burbridge,"Usana Ampitheatre, West Valley, UT"
"Earth, Wind & Power",7/30/17,James Casey,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Jennifer Hartswick,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Marcie Chapa,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Natalie Cressman,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Nate Edgar,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Nick Cassarino,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Nikki Glaspie,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Rashawn Ross,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Rob Marscher,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Skerik,High Sierra Music Festival
"Earth, Wind & Power",7/30/17,Skerik,High Sierra Music Festival
Polyrhythmics,7/30/17,Art Brown,High Sierra Music Festival
Polyrhythmics,7/30/17,Ben Bloom,High Sierra Music Festival
Polyrhythmics,7/30/17,Elijah Clark,High Sierra Music Festival
Polyrhythmics,7/30/17,Grant Schroff,High Sierra Music Festival
Polyrhythmics,7/30/17,Jason Gray,High Sierra Music Festival
Polyrhythmics,7/30/17,Karl Denson,High Sierra Music Festival
Polyrhythmics,7/30/17,Karl Olson,High Sierra Music Festival
Polyrhythmics,7/30/17,Lalo Bello,High Sierra Music Festival
Polyrhythmics,7/30/17,Mathan Spicer,High Sierra Music Festival
Polyrhythmics,7/30/17,Scott Morning,High Sierra Music Festival
Polyrhythmics,7/30/17,Skerik,High Sierra Music Festival
Stanton Moore Trio,7/30/17,David Torkanowsky,High Sierra Music Festival
Stanton Moore Trio,7/30/17,James Singleton,High Sierra Music Festival
Stanton Moore Trio,7/30/17,Stanton Moore,High Sierra Music Festival
The Greyboy Allstars,7/30/17,Aaron Redfield,High Sierra Music Festival
The Greyboy Allstars,7/30/17,Chris Stillwell,High Sierra Music Festival
The Greyboy Allstars,7/30/17,Elgin Park,High Sierra Music Festival
The Greyboy Allstars,7/30/17,Karl Denson,High Sierra Music Festival
The Greyboy Allstars,7/30/17,Robert Walter,High Sierra Music Festival
Foundation of Funk,1/14/18,Eric Krasno,Sunshine Music Festival
Foundation of Funk,1/14/18,George Porter Jr.,Sunshine Music Festival
Foundation of Funk,1/14/18,John Medeski,Sunshine Music Festival
Foundation of Funk,1/14/18,Zigaboo Modeliste,Sunshine Music Festival
Mike Gordon Band,1/14/18,Craig Myers,Sunshine Music Festival
Mike Gordon Band,1/14/18,John Kimock,Sunshine Music Festival
Mike Gordon Band,1/14/18,Mike Gordon,Sunshine Music Festival
Mike Gordon Band,1/14/18,Robert Walter,Sunshine Music Festival
Mike Gordon Band,1/14/18,Scott Murawski,Sunshine Music Festival
"Medeski, Martin, Scofield & Wood",1/15/18,Billy Martin,Jam Cruise
"Medeski, Martin, Scofield & Wood",1/15/18,Chris Wood,Jam Cruise
"Medeski, Martin, Scofield & Wood",1/15/18,John Medeski,Jam Cruise
"Medeski, Martin, Scofield & Wood",1/15/18,John Scofield,Jam Cruise
Holly Bowling,2/1/18,Holly Bowling,Bluebird Theater
"An All-Star Tribute to Alanis Morissette's ""Jagged Little Pill""",2/13/18,Chuck Jones,Cervantes' Masterpiece
"An All-Star Tribute to Alanis Morissette's ""Jagged Little Pill""",2/13/18,Jennifer Hartswick,Cervantes' Masterpiece
"An All-Star Tribute to Alanis Morissette's ""Jagged Little Pill""",2/13/18,Michaelangelo Carubba,Cervantes' Masterpiece
"An All-Star Tribute to Alanis Morissette's ""Jagged Little Pill""",2/13/18,Mike Tallman,Cervantes' Masterpiece
"An All-Star Tribute to Alanis Morissette's ""Jagged Little Pill""",2/13/18,Sammi Garett,Cervantes' Masterpiece
"An All-Star Tribute to Alanis Morissette's ""Jagged Little Pill""",2/13/18,Sasha Brown,Cervantes' Masterpiece
